compound_id	external_id	source	url	name
Compound::DB00014	DB00014	DrugBank	https://go.drugbank.com/drugs/DB00014	Goserelin
Compound::DB00035	DB00035	DrugBank	https://go.drugbank.com/drugs/DB00035	Desmopressin
Compound::DB00050	DB00050	DrugBank	https://go.drugbank.com/drugs/DB00050	Cetrorelix
Compound::DB00091	DB00091	DrugBank	https://go.drugbank.com/drugs/DB00091	Cyclosporine
Compound::DB00093	DB00093	DrugBank	https://go.drugbank.com/drugs/DB00093	Felypressin
Compound::DB00104	DB00104	DrugBank	https://go.drugbank.com/drugs/DB00104	Octreotide
Compound::DB00115	DB00115	DrugBank	https://go.drugbank.com/drugs/DB00115	Cyanocobalamin
Compound::DB00116	DB00116	DrugBank	https://go.drugbank.com/drugs/DB00116	Tetrahydrofolic Acid
Compound::DB00117	DB00117	DrugBank	https://go.drugbank.com/drugs/DB00117	L-histidine
Compound::DB00118	DB00118	DrugBank	https://go.drugbank.com/drugs/DB00118	S-adenosylmethionine
Compound::DB00119	DB00119	DrugBank	https://go.drugbank.com/drugs/DB00119	Pyruvic Acid
Compound::DB00120	DB00120	DrugBank	https://go.drugbank.com/drugs/DB00120	L-phenylalanine
Compound::DB00121	DB00121	DrugBank	https://go.drugbank.com/drugs/DB00121	Biotin
Compound::DB00122	DB00122	DrugBank	https://go.drugbank.com/drugs/DB00122	Choline
Compound::DB00123	DB00123	DrugBank	https://go.drugbank.com/drugs/DB00123	L-lysine
Compound::DB00125	DB00125	DrugBank	https://go.drugbank.com/drugs/DB00125	L-arginine
Compound::DB00126	DB00126	DrugBank	https://go.drugbank.com/drugs/DB00126	Vitamin C
Compound::DB00127	DB00127	DrugBank	https://go.drugbank.com/drugs/DB00127	Spermine
Compound::DB00128	DB00128	DrugBank	https://go.drugbank.com/drugs/DB00128	L-aspartic Acid
Compound::DB00129	DB00129	DrugBank	https://go.drugbank.com/drugs/DB00129	L-ornithine
Compound::DB00130	DB00130	DrugBank	https://go.drugbank.com/drugs/DB00130	L-glutamine
Compound::DB00131	DB00131	DrugBank	https://go.drugbank.com/drugs/DB00131	Adenosine Monophosphate
Compound::DB00132	DB00132	DrugBank	https://go.drugbank.com/drugs/DB00132	Alpha-linolenic Acid
Compound::DB00133	DB00133	DrugBank	https://go.drugbank.com/drugs/DB00133	L-serine
Compound::DB00134	DB00134	DrugBank	https://go.drugbank.com/drugs/DB00134	L-methionine
