disease_id	external_id	source	url	name
Disease::DOID:0050156	DOID:0050156	DOID	https://disease-ontology.org/?id=DOID:0050156	Idiopathic Pulmonary Fibrosis
Disease::DOID:0050425	DOID:0050425	DOID	https://disease-ontology.org/?id=DOID:0050425	Restless Legs Syndrome
Disease::DOID:0050741	DOID:0050741	DOID	https://disease-ontology.org/?id=DOID:0050741	Alcohol Dependence
Disease::DOID:0050742	DOID:0050742	DOID	https://disease-ontology.org/?id=DOID:0050742	Nicotine Dependence
Disease::DOID:0060073	DOID:0060073	DOID	https://disease-ontology.org/?id=DOID:0060073	Lymphatic System Cancer
Disease::DOID:0060119	DOID:0060119	DOID	https://disease-ontology.org/?id=DOID:0060119	Pharynx Cancer
Disease::DOID:10021	DOID:10021	DOID	https://disease-ontology.org/?id=DOID:10021	Duodenum Cancer
Disease::DOID:10153	DOID:10153	DOID	https://disease-ontology.org/?id=DOID:10153	Ileum Cancer
Disease::DOID:1024	DOID:1024	DOID	https://disease-ontology.org/?id=DOID:1024	Leprosy
Disease::DOID:10283	DOID:10283	DOID	https://disease-ontology.org/?id=DOID:10283	Prostate Cancer
Disease::DOID:10534	DOID:10534	DOID	https://disease-ontology.org/?id=DOID:10534	Stomach Cancer
Disease::DOID:10608	DOID:10608	DOID	https://disease-ontology.org/?id=DOID:10608	Celiac Disease
Disease::DOID:10652	DOID:10652	DOID	https://disease-ontology.org/?id=DOID:10652	Alzheimer's Disease
Disease::DOID:10763	DOID:10763	DOID	https://disease-ontology.org/?id=DOID:10763	Hypertension (disease)
Disease::DOID:10811	DOID:10811	DOID	https://disease-ontology.org/?id=DOID:10811	Nasal Cavity Cancer
Disease::DOID:10871	DOID:10871	DOID	https://disease-ontology.org/?id=DOID:10871	Age Related Macular Degeneration
Disease::DOID:1094	DOID:1094	DOID	https://disease-ontology.org/?id=DOID:1094	Attention Deficit Hyperactivity Disorder
Disease::DOID:10941	DOID:10941	DOID	https://disease-ontology.org/?id=DOID:10941	Intracranial Aneurysm
Disease::DOID:10976	DOID:10976	DOID	https://disease-ontology.org/?id=DOID:10976	Membranous Glomerulonephritis
Disease::DOID:11054	DOID:11054	DOID	https://disease-ontology.org/?id=DOID:11054	Urinary Bladder Cancer
Disease::DOID:11119	DOID:11119	DOID	https://disease-ontology.org/?id=DOID:11119	Gilles De La Tourette Syndrome
Disease::DOID:1115	DOID:1115	DOID	https://disease-ontology.org/?id=DOID:1115	Sarcoma
