gene_id	external_id	source	url	name
Gene::1	1	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/1	A1bg
Gene::10	10	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10	Nat2
Gene::100	100	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100	Ada
Gene::1000	1000	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/1000	Cdh2
Gene::10000	10000	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10000	Akt3
Gene::100008586	100008586	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100008586	Gage12f
Gene::10001	10001	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10001	Med6
Gene::10002	10002	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10002	Nr2e3
Gene::10003	10003	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10003	Naalad2
Gene::100033411	100033411	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100033411	Duxb
Gene::100037417	100037417	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100037417	Ddtl
Gene::10004	10004	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10004	Naaladl1
Gene::100049579	100049579	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100049579	Octn3
Gene::100049587	100049587	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100049587	Siglec14
Gene::10005	10005	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10005	Acot8
Gene::10006	10006	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10006	Abi1
Gene::10007	10007	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10007	Gnpda1
Gene::10008	10008	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10008	Kcne3
Gene::10009	10009	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10009	Zbtb33
Gene::1001	1001	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/1001	Cdh3
Gene::10010	10010	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10010	Tank
Gene::100101267	100101267	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100101267	Pom121c
Gene::100101467	100101467	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100101467	Zscan30
Gene::100101629	100101629	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100101629	Gage8
Gene::10011	10011	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10011	Sra1
Gene::100113407	100113407	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100113407	Tmem170b
Gene::100125288	100125288	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100125288	Zglp1
Gene::100127206	100127206	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100127206	Kiaa1024l
Gene::100127889	100127889	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100127889	C10orf131
Gene::100127971	100127971	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100127971	Loc100127971
Gene::100127983	100127983	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100127983	C8orf88
Gene::100127991	100127991	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100127991	Loc100127991
Gene::100128001	100128001	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128001	Loc100128001
Gene::100128071	100128071	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128071	Fam229a
Gene::100128088	100128088	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128088	Loc100128088
Gene::100128107	100128107	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128107	Loc100128107
Gene::100128108	100128108	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128108	Loc100128108
Gene::100128124	100128124	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128124	Hgc6.3
Gene::100128160	100128160	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128160	Loc100128160
Gene::100128170	100128170	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128170	Loc100128170
Gene::100128184	100128184	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128184	Loc100128184
Gene::100128198	100128198	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128198	Loc100128198
Gene::100128265	100128265	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128265	Loc100128265
Gene::100128274	100128274	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128274	Loc100128274
Gene::100128320	100128320	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128320	Loc100128320
Gene::100128327	100128327	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128327	Trappc3l
Gene::100128348	100128348	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128348	Loc100128348
Gene::100128402	100128402	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128402	Loc100128402
Gene::100128429	100128429	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128429	Loc100128429
Gene::100128430	100128430	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128430	Loc100128430
Gene::100128437	100128437	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128437	Loc100128437
Gene::100128496	100128496	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128496	C20orf78
Gene::100128498	100128498	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128498	Loc100128498
Gene::100128517	100128517	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128517	Loc100128517
Gene::100128529	100128529	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128529	Loc100128529
Gene::100128551	100128551	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128551	Loc100128551
Gene::100128553	100128553	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128553	Ctage4
Gene::100128569	100128569	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128569	C19orf71
Gene::100128571	100128571	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128571	Loc100128571
Gene::100128591	100128591	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128591	Loc100128591
Gene::100128651	100128651	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128651	Loc100128651
Gene::100128668	100128668	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128668	Loc100128668
Gene::100128691	100128691	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128691	Loc100128691
Gene::100128697	100128697	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128697	Loc100128697
Gene::100128731	100128731	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128731	Ost4
Gene::100128795	100128795	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128795	Loc100128795
Gene::100128824	100128824	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128824	Loc100128824
Gene::100128851	100128851	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128851	Loc100128851
Gene::100128905	100128905	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128905	Loc100128905
Gene::100128927	100128927	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128927	Zbtb42
Gene::100128950	100128950	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100128950	Loc100128950
Gene::100129042	100129042	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129042	Loc100129042
Gene::100129069	100129069	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129069	Loc100129069
Gene::100129083	100129083	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129083	Loc100129083
Gene::100129094	100129094	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129094	Btnl10
Gene::100129098	100129098	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129098	Loc100129098
Gene::100129112	100129112	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129112	Loc100129112
Gene::100129115	100129115	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129115	Loc100129115
Gene::100129125	100129125	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129125	Loc100129125
Gene::100129126	100129126	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129126	Loc100129126
Gene::100129128	100129128	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129128	Khdc1l
Gene::100129171	100129171	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129171	Loc100129171
Gene::100129216	100129216	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129216	Loc100129216
Gene::100129239	100129239	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129239	Cxorf51a
Gene::100129240	100129240	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129240	Loc100129240
