compound_id	external_id	source	url	name
COMPOUND:1	DB00001	DrugBank	https://go.drugbank.com/drugs/DB00001	lepirudin
COMPOUND:2	DB00002	DrugBank	https://go.drugbank.com/drugs/DB00002	cetuximab
COMPOUND:3	DB00003	DrugBank	https://go.drugbank.com/drugs/DB00003	Dornase alfa
COMPOUND:4	DB00004	DrugBank	https://go.drugbank.com/drugs/DB00004	denileukin diftitox
COMPOUND:5	DB00005	DrugBank	https://go.drugbank.com/drugs/DB00005	etanercept
COMPOUND:6	DB00006	DrugBank	https://go.drugbank.com/drugs/DB00006	bivalirudin
COMPOUND:7	DB00007	DrugBank	https://go.drugbank.com/drugs/DB00007	Leuprolide
COMPOUND:8	DB00008	DrugBank	https://go.drugbank.com/drugs/DB00008	Peginterferon alfa-2a
COMPOUND:9	DB00009	DrugBank	https://go.drugbank.com/drugs/DB00009	Alteplase
COMPOUND:10	DB00010	DrugBank	https://go.drugbank.com/drugs/DB00010	sermorelin
COMPOUND:11	DB00011	DrugBank	https://go.drugbank.com/drugs/DB00011	interferon alfa-n1
COMPOUND:12	DB00012	DrugBank	https://go.drugbank.com/drugs/DB00012	darbepoetin alfa
COMPOUND:13	DB00013	DrugBank	https://go.drugbank.com/drugs/DB00013	urokinase
COMPOUND:14	DB00014	DrugBank	https://go.drugbank.com/drugs/DB00014	goserelin
COMPOUND:15	DB00015	DrugBank	https://go.drugbank.com/drugs/DB00015	reteplase
COMPOUND:16	DB00016	DrugBank	https://go.drugbank.com/drugs/DB00016	Erythropoietin
COMPOUND:17	DB00017	DrugBank	https://go.drugbank.com/drugs/DB00017	salmon calcitonin
COMPOUND:18	DB00018	DrugBank	https://go.drugbank.com/drugs/DB00018	interferon alfa-n3
COMPOUND:19	DB00019	DrugBank	https://go.drugbank.com/drugs/DB00019	pegfilgrastim
COMPOUND:20	DB00020	DrugBank	https://go.drugbank.com/drugs/DB00020	sargramostim
COMPOUND:21	DB00022	DrugBank	https://go.drugbank.com/drugs/DB00022	Peginterferon alfa-2b
COMPOUND:22	DB00023	DrugBank	https://go.drugbank.com/drugs/DB00023	asparaginase
COMPOUND:23	DB00024	DrugBank	https://go.drugbank.com/drugs/DB00024	thyrotropin alfa
COMPOUND:24	DB00025	DrugBank	https://go.drugbank.com/drugs/DB00025	Antihemophilic factor, human recombinant
COMPOUND:25	DB00026	DrugBank	https://go.drugbank.com/drugs/DB00026	anakinra
COMPOUND:26	DB00027	DrugBank	https://go.drugbank.com/drugs/DB00027	gramicidin d
COMPOUND:27	DB00028	DrugBank	https://go.drugbank.com/drugs/DB00028	Human immunoglobulin G
