disease_id	external_id	source	url	name
DISEASE:1	2308	Orphanet	https://www.orpha.net/en/disease/detail/2308	11q partial monosomy syndrome
DISEASE:2	D018784	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018784	Abdominal Abscess
DISEASE:3	D018221	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018221	Abdominal fibromatosis
DISEASE:4	D015746	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015746	Abdominal Pain
DISEASE:5	D020434	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020434	Abducens nerve weakness
DISEASE:6	14	Orphanet	https://www.orpha.net/en/disease/detail/14	Abetalipoproteinemia
DISEASE:7	PA166264221	PharmGKB	https://www.pharmgkb.org/disease/PA166264221	ability to concentrate
DISEASE:8	D000014	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000014	Abnormalities, Drug-Induced
DISEASE:9	D000015	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000015	Abnormalities, Multiple
DISEASE:10	PA166286081	PharmGKB	https://www.pharmgkb.org/disease/PA166286081	abnormal renal tubular function
DISEASE:11	D003970	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003970	Abnormal tooth spacing NOS
DISEASE:12	D000026	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000026	Abortion, Habitual
DISEASE:13	D000022	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000022	Abortion, Spontaneous
DISEASE:14	D014072	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014072	Abrasion of teeth NOS
DISEASE:15	D000038	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000038	Abscess
DISEASE:16	67043	Orphanet	https://www.orpha.net/en/disease/detail/67043	Acanthamoeba keratitis
DISEASE:17	D000052	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000052	Acanthosis Nigricans
DISEASE:18	D020642	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020642	Acatalasia
DISEASE:19	D016170	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016170	Accelerated idioventricular rhythm
DISEASE:20	D015465	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015465	Accelerated phase chronic myeloid leukemia
DISEASE:21	D003741	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003741	Accretions on teeth NOS
DISEASE:22	D000126	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000126	Achlorhydria
DISEASE:23	15	Orphanet	https://www.orpha.net/en/disease/detail/15	Achondroplasia
