entity_id	external_id	source	url	name
GENE:1	1	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/1	alpha-1-B glycoprotein
GENE:2	503538	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/503538	A1BG antisense RNA 1
GENE:3	29974	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/29974	APOBEC1 complementation factor
GENE:4	2	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/2	alpha-2-macroglobulin
GENE:5	144568	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/144568	alpha-2-macroglobulin like 1
GENE:6	3	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/3	alpha-2-macroglobulin pseudogene 1
GENE:7	127550	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/127550	alpha 1,3-galactosyltransferase 2
GENE:8	53947	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/53947	alpha 1,4-galactosyltransferase (P blood group)
GENE:9	51146	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/51146	alpha-1,4-N-acetylglucosaminyltransferase
GENE:10	8086	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/8086	aladin WD repeat nucleoporin
GENE:11	65985	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/65985	acetoacetyl-CoA synthetase
GENE:12	729522	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/729522	acetoacetyl-CoA synthetase pseudogene 1
GENE:13	13	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/13	arylacetamide deacetylase
GENE:14	344752	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/344752	arylacetamide deacetylase like 2
GENE:15	126767	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/126767	arylacetamide deacetylase like 3
GENE:16	343066	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/343066	arylacetamide deacetylase like 4
GENE:17	51166	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/51166	aminoadipate aminotransferase
GENE:18	79719	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/79719	alpha and gamma adaptin binding protein
GENE:19	22848	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/22848	AP2 associated kinase 1
GENE:20	28971	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/28971	adipogenesis associated Mth938 domain containing
GENE:21	14	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/14	angio associated migratory cell protein
GENE:22	15	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/15	aralkylamine N-acetyltransferase
GENE:23	25980	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/25980	AAR2 splicing factor
GENE:24	441376	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/441376	alanine and arginine rich domain containing protein
GENE:25	16	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/16	alanyl-tRNA synthetase
GENE:26	57505	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/57505	alanyl-tRNA synthetase 2, mitochondrial
GENE:27	80755	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/80755	alanyl-tRNA synthetase domain containing 1
GENE:28	132949	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/132949	aminoadipate-semialdehyde dehydrogenase
GENE:29	60496	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/60496	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
GENE:30	10157	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10157	aminoadipate-semialdehyde synthase
GENE:31	26574	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/26574	apoptosis antagonizing transcription factor
GENE:32	9625	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/9625	apoptosis associated tyrosine kinase
GENE:33	17	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/17	adeno-associated virus integration site 1
GENE:34	18	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/18	4-aminobutyrate aminotransferase
GENE:35	19	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/19	ATP binding cassette subfamily A member 1
GENE:36	10349	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10349	ATP binding cassette subfamily A member 10
GENE:37	79963	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/79963	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene
GENE:38	26154	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/26154	ATP binding cassette subfamily A member 12
GENE:39	154664	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/154664	ATP binding cassette subfamily A member 13
GENE:40	20	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/20	ATP binding cassette subfamily A member 2
GENE:41	21	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/21	ATP binding cassette subfamily A member 3
GENE:42	24	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/24	ATP binding cassette subfamily A member 4
GENE:43	23461	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/23461	ATP binding cassette subfamily A member 5
GENE:44	23460	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/23460	ATP binding cassette subfamily A member 6
GENE:45	10347	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10347	ATP binding cassette subfamily A member 7
GENE:46	10351	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10351	ATP binding cassette subfamily A member 8
GENE:47	10350	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10350	ATP binding cassette subfamily A member 9
GENE:48	5243	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/5243	ATP binding cassette subfamily B member 1
GENE:49	23456	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/23456	ATP binding cassette subfamily B member 10
GENE:50	56476	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/56476	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1
GENE:51	8647	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/8647	ATP binding cassette subfamily B member 11
GENE:52	5244	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/5244	ATP binding cassette subfamily B member 4
GENE:53	340273	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/340273	ATP binding cassette subfamily B member 5
GENE:54	10058	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10058	ATP binding cassette subfamily B member 6 (Langereis blood group)
GENE:55	22	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/22	ATP binding cassette subfamily B member 7
GENE:56	11194	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/11194	ATP binding cassette subfamily B member 8
GENE:57	23457	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/23457	ATP binding cassette subfamily B member 9
GENE:58	4363	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/4363	ATP binding cassette subfamily C member 1
GENE:59	89845	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/89845	ATP binding cassette subfamily C member 10
GENE:60	85320	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/85320	ATP binding cassette subfamily C member 11
GENE:61	94160	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/94160	ATP binding cassette subfamily C member 12
