compound_id	external_id	source	url	name
DrugBank_DB09261	DB09261	DrugBank	https://go.drugbank.com/drugs/DB09261	Certoparin
DrugBank_DB03245	DB03245	DrugBank	https://go.drugbank.com/drugs/DB03245	S-4-nitrobutyryl-coa
DrugBank_DB01545	DB01545	DrugBank	https://go.drugbank.com/drugs/DB01545	Ethyl Loflazepate
DrugBank_DB02789	DB02789	DrugBank	https://go.drugbank.com/drugs/DB02789	Pregnenolone
DrugBank_DB06781	DB06781	DrugBank	https://go.drugbank.com/drugs/DB06781	Difluprednate
DrugBank_DB14232	DB14232	DrugBank	https://go.drugbank.com/drugs/DB14232	Deacetylbisacodyl
DrugBank_DB07500	DB07500	DrugBank	https://go.drugbank.com/drugs/DB07500	(2e)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one
DrugBank_DB12061	DB12061	DrugBank	https://go.drugbank.com/drugs/DB12061	Pardoprunox
DrugBank_DB00030	DB00030	DrugBank	https://go.drugbank.com/drugs/DB00030	Insulin Human
DrugBank_DB13140	DB13140	DrugBank	https://go.drugbank.com/drugs/DB13140	Bezlotoxumab
DrugBank_DB08389	DB08389	DrugBank	https://go.drugbank.com/drugs/DB08389	6,7-dimethoxy-4-[(3r)-3-(2-naphthyloxy)pyrrolidin-1-yl]quinazoline
DrugBank_DB01108	DB01108	DrugBank	https://go.drugbank.com/drugs/DB01108	Trilostane
DrugBank_DB06715	DB06715	DrugBank	https://go.drugbank.com/drugs/DB06715	Potassium Iodide
DrugBank_DB07248	DB07248	DrugBank	https://go.drugbank.com/drugs/DB07248	7-pyridin-2-yl-n-(3,4,5-trimethoxyphenyl)-7h-pyrrolo[2,3-d]pyrimidin-2-amine
DrugBank_DB03333	DB03333	DrugBank	https://go.drugbank.com/drugs/DB03333	(4-sulfamoyl-phenyl)-thiocarbamic Acid O-(2-thiophen-3-yl-ethyl) Ester
DrugBank_DB07030	DB07030	DrugBank	https://go.drugbank.com/drugs/DB07030	(5-chloro-2-{[(3-nitrobenzyl)amino]carbonyl}phenoxy)acetic Acid
