disease_id	external_id	source	url	name
MONDO_5312	MONDO:0005312	MONDO	https://monarchinitiative.org/disease/MONDO:0005312	Pouchitis
MONDO_4808	MONDO:0004808	MONDO	https://monarchinitiative.org/disease/MONDO:0004808	Benign Mammary Dysplasia
MONDO_5879	MONDO:0005879	MONDO	https://monarchinitiative.org/disease/MONDO:0005879	Ocular Toxoplasmosis
MONDO_15104	MONDO:0015104	MONDO	https://monarchinitiative.org/disease/MONDO:0015104	Porphyria Cutanea Tarda
MONDO_12927	MONDO:0012927	MONDO	https://monarchinitiative.org/disease/MONDO:0012927	Chromosome 1q41-q42 Deletion Syndrome
MONDO_291	MONDO:0000291	MONDO	https://monarchinitiative.org/disease/MONDO:0000291	Granulomatous Amebic Encephalitis
MONDO_1492	MONDO:0001492	MONDO	https://monarchinitiative.org/disease/MONDO:0001492	Kyphoscoliotic Heart Disease
MONDO_3389	MONDO:0003389	MONDO	https://monarchinitiative.org/disease/MONDO:0003389	Epithelial-myoepithelial Carcinoma
MONDO_956	MONDO:0000956	MONDO	https://monarchinitiative.org/disease/MONDO:0000956	Small Intestine Cancer
MONDO_8655	MONDO:0008655	MONDO	https://monarchinitiative.org/disease/MONDO:0008655	Vestibulocochlear Dysfunction, Progressive
MONDO_8995	MONDO:0008995	MONDO	https://monarchinitiative.org/disease/MONDO:0008995	Yunis-varon Syndrome
MONDO_16340	MONDO:0016340	MONDO	https://monarchinitiative.org/disease/MONDO:0016340	Familial Restrictive Cardiomyopathy
MONDO_16786	MONDO:0016786	MONDO	https://monarchinitiative.org/disease/MONDO:0016786	Partial Hydatidiform Mole
MONDO_5382	MONDO:0005382	MONDO	https://monarchinitiative.org/disease/MONDO:0005382	Bone Paget Disease
MONDO_100057	MONDO:0100057	MONDO	https://monarchinitiative.org/disease/MONDO:0100057	Food-dependent Exercise-induced Anaphylaxis
MONDO_6618	MONDO:0006618	MONDO	https://monarchinitiative.org/disease/MONDO:0006618	Vibratory Urticaria
MONDO_5615	MONDO:0005615	MONDO	https://monarchinitiative.org/disease/MONDO:0005615	Plasmacytoma
MONDO_21163	MONDO:0021163	MONDO	https://monarchinitiative.org/disease/MONDO:0021163	Kidney Neoplasm
MONDO_40654	MONDO:0040654	MONDO	https://monarchinitiative.org/disease/MONDO:0040654	Autosomal Dominant Oculocutaneous Albinism
MONDO_grouped_8054_16367_1907	MONDO:grouped_8054_16367_1907	MONDO	https://monarchinitiative.org/disease/MONDO:grouped_8054_16367_1907	Dermatomyositis
MONDO_16565	MONDO:0016565	MONDO	https://monarchinitiative.org/disease/MONDO:0016565	Syndromic Genetic Obesity
MONDO_6993	MONDO:0006993	MONDO	https://monarchinitiative.org/disease/MONDO:0006993	Systolic Heart Failure
MONDO_12035	MONDO:0012035	MONDO	https://monarchinitiative.org/disease/MONDO:0012035	Craniosynostosis-intracranial Calcifications Syndrome
MONDO_grouped_12039_12058	MONDO:grouped_12039_12058	MONDO	https://monarchinitiative.org/disease/MONDO:grouped_12039_12058	Myocardial Infarction, Susceptibility To
MONDO_11063	MONDO:0011063	MONDO	https://monarchinitiative.org/disease/MONDO:0011063	Hidrotic Ectodermal Dysplasia, Christianson-fourie Type
MONDO_2134	MONDO:0002134	MONDO	https://monarchinitiative.org/disease/MONDO:0002134	Physiological Sexual Disorder
MONDO_18599	MONDO:0018599	MONDO	https://monarchinitiative.org/disease/MONDO:0018599	Congenital Oculomotor Nerve Palsy
MONDO_23147	MONDO:0023147	MONDO	https://monarchinitiative.org/disease/MONDO:0023147	Fetal Parainfluenza Virus Type 3 Syndrome
MONDO_26724	MONDO:0026724	MONDO	https://monarchinitiative.org/disease/MONDO:0026724	Paganini-miozzo Syndrome
MONDO_13116	MONDO:0013116	MONDO	https://monarchinitiative.org/disease/MONDO:0013116	Congenital Cataract-progressive Muscular Hypotonia-hearing Loss-developmental Delay Syndrome
MONDO_15836	MONDO:0015836	MONDO	https://monarchinitiative.org/disease/MONDO:0015836	Bicervical Bicornuate Uterus With Patent Cervix And Vagina
MONDO_2606	MONDO:0002606	MONDO	https://monarchinitiative.org/disease/MONDO:0002606	Epithelioid Type Angiomyolipoma
MONDO_7297	MONDO:0007297	MONDO	https://monarchinitiative.org/disease/MONDO:0007297	Adan Amyloidosis
MONDO_43303	MONDO:0043303	MONDO	https://monarchinitiative.org/disease/MONDO:0043303	Hyperacusis
MONDO_17348	MONDO:0017348	MONDO	https://monarchinitiative.org/disease/MONDO:0017348	Lymphoepithelial-like Carcinoma
MONDO_5778	MONDO:0005778	MONDO	https://monarchinitiative.org/disease/MONDO:0005778	Haemonchiasis
MONDO_22771	MONDO:0022771	MONDO	https://monarchinitiative.org/disease/MONDO:0022771	Circumscribed Disseminated Keratosis Jadassohn Lew Type
MONDO_24572	MONDO:0024572	MONDO	https://monarchinitiative.org/disease/MONDO:0024572	Immunodeficiency-related Disorder
MONDO_1470	MONDO:0001470	MONDO	https://monarchinitiative.org/disease/MONDO:0001470	Anal Margin Squamous Cell Carcinoma
MONDO_1903	MONDO:0001903	MONDO	https://monarchinitiative.org/disease/MONDO:0001903	Calcific Tendinitis
MONDO_19183	MONDO:0019183	MONDO	https://monarchinitiative.org/disease/MONDO:0019183	Inherited Odontologic Disease
MONDO_17067	MONDO:0017067	MONDO	https://monarchinitiative.org/disease/MONDO:0017067	Cervicothoracic Spina Bifida Aperta
MONDO_6211	MONDO:0006211	MONDO	https://monarchinitiative.org/disease/MONDO:0006211	Fibrous Hamartoma Of Infancy
