gene_id	external_id	source	url	name
NCBI_25939	25939	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/25939	Samhd1
NCBI_189	189	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/189	Agxt
NCBI_245932	245932	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/245932	Defb119
NCBI_56606	56606	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/56606	Slc2a9
NCBI_78990	78990	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/78990	Otub2
NCBI_100873433	100873433	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100873433	Rna5sp168
NCBI_306	306	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/306	Anxa3
NCBI_23074	23074	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/23074	Uhrf1bp1l
NCBI_100505663	100505663	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100505663	Linc01370
NCBI_100874117	100874117	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100874117	Egflam-as1
NCBI_100616414	100616414	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100616414	Mir4761
NCBI_79831	79831	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/79831	Kdm8
NCBI_10793	10793	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10793	Znf273
NCBI_2304	2304	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/2304	Foxe1
NCBI_100312833	100312833	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100312833	Vn1r88p
NCBI_3433	3433	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/3433	Ifit2
NCBI_51338	51338	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/51338	Ms4a4a
NCBI_2202	2202	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/2202	Efemp1
NCBI_63920	63920	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/63920	Zbed8
NCBI_131368	131368	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/131368	Zpld1
NCBI_727826	727826	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/727826	Rps11p5
NCBI_81697	81697	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/81697	Or2b2
NCBI_27285	27285	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/27285	Tekt2
